instance,status,pool_best_total,lns_total,improvement_abs,improvement_pct,feasible,pool_time,pool_room,pool_distribution,lns_time,lns_room,lns_distribution,model_seconds,lns_seconds,total_seconds,iterations,accepted,repairs,destroy_stats,marl_top_q,config,log_path
mary-fal18,ok,1871.0,1871.0,0.0,+0.00,True,229.0,333.0,216.0,229.0,333.0,216.0,811.0,20551.64,21362.64,500,0,130,"{'random': 0, 'high_distribution': 0, 'marl_guided': 500, 'fallback': 0}","25:0.000/2, 30:0.000/2, 40:0.000/1, 63:0.000/2, 89:0.000/2, 113:0.000/3, 121:0.000/1, 195:0.000/4, 253:0.000/2, 281:0.000/1",destroy_size=8  destroy_strategy=marl_guided  acceptance=improvement  repair_method=beam  repair_scoring=validator_delta  candidate_limit=40  beam_width=3,E:\Desktop\test\output\output1.log
mary-spr17,ok,14473.0,14463.0,10.0,+0.07,True,793.0,52.0,2567.0,798.0,52.0,2563.0,1020.8,20782.42,21803.219999999998,500,1,130,"{'random': 0, 'high_distribution': 0, 'marl_guided': 500, 'fallback': 0}","654:0.000/1, 20:0.000/4, 56:0.000/4, 85:0.000/2, 110:0.000/2, 150:0.000/3, 185:0.000/2, 213:0.000/2, 223:0.000/2, 235:0.000/2",destroy_size=8  destroy_strategy=marl_guided  acceptance=improvement  repair_method=beam  repair_scoring=validator_delta  candidate_limit=40  beam_width=3,E:\Desktop\test\output\output1.log
muni-fi-fal17,ok,273.0,273.0,0.0,+0.00,True,22.0,127.0,8.0,22.0,127.0,8.0,53.7,932.30,986.0,500,0,227,"{'random': 0, 'high_distribution': 0, 'marl_guided': 500, 'fallback': 0}","25:0.000/4, 102:0.000/4, 200:0.000/2, 261:0.000/4, 266:0.000/7, 322:0.000/6, 358:0.000/1, 58:-0.001/6, 396:-0.001/6, 437:-0.001/7",destroy_size=8  destroy_strategy=marl_guided  acceptance=improvement  repair_method=beam  repair_scoring=validator_delta  candidate_limit=40  beam_width=3,E:\Desktop\test\output\output1.log
muni-fi-spr16,ok,363.0,363.0,0.0,+0.00,True,62.0,157.0,2.0,62.0,157.0,2.0,52.9,1164.90,1217.8000000000002,500,0,351,"{'random': 0, 'high_distribution': 0, 'marl_guided': 500, 'fallback': 0}","13:0.000/3, 17:0.000/2, 20:0.000/4, 35:0.000/5, 39:0.000/4, 59:0.000/2, 73:0.000/3, 91:0.000/8, 107:0.000/7, 113:0.000/6",destroy_size=8  destroy_strategy=marl_guided  acceptance=improvement  repair_method=beam  repair_scoring=validator_delta  candidate_limit=40  beam_width=3,E:\Desktop\test\output\output1.log
muni-fi-spr17,ok,208.0,198.0,10.0,+4.81,True,10.0,108.0,7.0,10.0,108.0,6.0,87.9,1961.69,2049.59,500,1,228,"{'random': 0, 'high_distribution': 0, 'marl_guided': 500, 'fallback': 0}","163:0.000/5, 419:0.000/3, 457:0.000/2, 500:0.000/4, 476:-0.001/6, 282:-0.002/4, 444:-0.002/7, 482:-0.002/4, 516:-0.002/7, 58:-0.003/3",destroy_size=8  destroy_strategy=marl_guided  acceptance=improvement  repair_method=beam  repair_scoring=validator_delta  candidate_limit=40  beam_width=3,E:\Desktop\test\output\output1.log
muni-fsps-spr17,ok,368.0,368.0,0.0,+0.00,True,0.0,68.0,20.0,0.0,68.0,20.0,42.1,673.76,715.86,500,0,289,"{'random': 0, 'high_distribution': 0, 'marl_guided': 500, 'fallback': 0}","6:0.000/6, 7:0.000/6, 9:0.000/5, 12:0.000/5, 15:0.000/11, 22:0.000/1, 36:0.000/5, 60:0.000/7, 79:0.000/3, 85:0.000/3",destroy_size=8  destroy_strategy=marl_guided  acceptance=improvement  repair_method=beam  repair_scoring=validator_delta  candidate_limit=40  beam_width=3,E:\Desktop\test\output\output1.log
muni-fsps-spr17c,incomplete,,,,,,,,,,,,4213.1,,,,,,,,,E:\Desktop\test\output\output1.log
